{1=0.26254413, 2=1, 3=-0.9582554, 4=1, 5=1.4174964, 6=1, 7=1, 8=1, 9=1, 10=1, 11=0.1630545, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.97471035, 2=3, 3=-0.5219124, 4=1, 5=1.4174964, 6=1, 7=1, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=1}
{1=-0.2787547, 2=3, 3=0.28481916, 4=7, 5=1.0264289, 6=1, 7=6, 8=1, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=-0.12409789, 2=3, 3=0.6793569, 4=8, 5=-2.1021106, 6=2, 7=7, 8=2, 9=4, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=5, 15=1}
{1=-0.8200535, 2=2, 3=0.00927257, 4=2, 5=-0.14677337, 6=1, 7=8, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=-0.2787547, 2=3, 3=0.10742927, 4=2, 5=-0.14677337, 6=1, 7=9, 8=5, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.18521571, 2=3, 3=-1.4323578, 4=3, 5=-0.9289083, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=0.57185775, 2=2, 3=1.1345357, 4=4, 5=1.8085638, 6=3, 7=2, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=2}
{1=0.3398725, 2=3, 3=0.17275009, 4=9, 5=2.5906987, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=2}
{1=1.4224702, 2=3, 3=1.2317467, 4=2, 5=-0.14677337, 6=5, 7=5, 8=5, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.5067624, 14=1, 15=1}
{1=-0.04676949, 2=4, 3=-0.9647972, 4=5, 5=-1.7110431, 6=2, 7=8, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.57185775, 2=3, 3=-0.57295036, 4=3, 5=-0.9289083, 6=2, 7=7, 8=2, 9=1, 10=1, 11=-0.14188065, 12=5.0373683, 13=0.1754197, 14=1, 15=1}
{1=1.8091122, 2=3, 3=-0.6511598, 4=2, 5=-0.14677337, 6=3, 7=10, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.577127, 2=5, 3=0.40017375, 4=1, 5=1.4174964, 6=2, 7=10, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-1.2840239, 2=3, 3=-0.07322664, 4=2, 5=-0.14677337, 6=1, 7=11, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.26254413, 2=3, 3=1.8665675, 4=2, 5=-0.14677337, 6=3, 7=2, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=3.539784, 14=1, 15=1}
{1=1.0358281, 2=3, 3=0.17120968, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.97471035, 2=5, 3=0.14530559, 4=7, 5=1.0264289, 6=1, 7=12, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.184729, 14=1, 15=1}
{1=-1.2066956, 2=3, 3=0.87949204, 4=6, 5=0.24429408, 6=1, 7=6, 8=4, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.51185614, 14=1, 15=1}
{1=0.7265145, 2=3, 3=2.0584352, 4=1, 5=1.4174964, 6=3, 7=2, 8=4, 9=1, 10=1, 11=-0.14188065, 12=3.408051, 13=0.1754197, 14=1, 15=1}
{1=-0.4334115, 2=4, 3=-1.1295031, 4=6, 5=0.24429408, 6=2, 7=1, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.0520387, 2=1, 3=1.3230593, 4=6, 5=0.24429408, 6=2, 7=5, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.9273078, 14=1, 15=1}
{1=0.9584997, 2=3, 3=0.64931905, 4=3, 5=-0.9289083, 6=1, 7=9, 8=5, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=6, 15=1}
{1=-1.1293671, 2=3, 3=0.2085888, 4=6, 5=0.24429408, 6=1, 7=9, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.2840239, 2=3, 3=3.5905592, 4=2, 5=-0.14677337, 6=6, 7=1, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.0862168, 14=1, 15=1}
{1=0.9584997, 2=2, 3=0.87424684, 4=7, 5=1.0264289, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.3560831, 2=3, 3=3.2374759, 4=5, 5=-1.7110431, 6=2, 7=9, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.427747, 14=1, 15=1}
{1=1.3451418, 2=2, 3=-0.85110974, 4=1, 5=1.4174964, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.8973819, 2=3, 3=-0.027472824, 4=1, 5=1.4174964, 6=2, 7=10, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=1.0358281, 2=3, 3=-0.7913266, 4=2, 5=-0.14677337, 6=5, 7=1, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.8200535, 2=3, 3=1.1131358, 4=2, 5=-0.14677337, 6=1, 7=3, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=1.6544554, 2=4, 3=1.5802771, 4=1, 5=1.4174964, 6=2, 7=4, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.3451418, 2=3, 3=-0.30655843, 4=2, 5=-0.14677337, 6=2, 7=9, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.0072014956, 14=1, 15=1}
{1=0.64918613, 2=3, 3=-0.46261668, 4=4, 5=1.8085638, 6=3, 7=2, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.41720092, 2=1, 3=-0.72342217, 4=10, 5=0.63536155, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5107399, 2=3, 3=0.93263584, 4=10, 5=0.63536155, 6=1, 7=4, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.427747, 14=1, 15=1}
{1=-0.8200535, 2=3, 3=-1.3993268, 4=6, 5=0.24429408, 6=2, 7=2, 8=3, 9=5, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.88117135, 2=3, 3=-1.2086291, 4=11, 5=2.1996315, 6=2, 7=4, 8=3, 9=1, 10=2, 11=-0.14188065, 12=4.677582, 13=1.8576018, 14=7, 15=2}
{1=1.1131566, 2=4, 3=0.7388085, 4=1, 5=1.4174964, 6=3, 7=2, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.4370563, 14=1, 15=2}
{1=0.88117135, 2=6, 3=-0.6431946, 4=2, 5=-0.14677337, 6=3, 7=2, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=1}
{1=0.57185775, 2=3, 3=0.60629505, 4=6, 5=0.24429408, 6=2, 7=10, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=0.80384296, 2=3, 3=0.39837012, 4=12, 5=-2.4931781, 6=2, 7=9, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=5, 15=1}
{1=-0.04676949, 2=3, 3=-1.1645912, 4=10, 5=0.63536155, 6=2, 7=5, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=6, 15=1}
{1=0.41720092, 2=3, 3=-0.27720305, 4=2, 5=-0.14677337, 6=2, 7=1, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.8482925, 14=1, 15=1}
{1=-0.4334115, 2=3, 3=0.12031795, 4=2, 5=-0.14677337, 6=2, 7=9, 8=2, 9=1, 10=1, 11=0.5612656, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.4334115, 2=3, 3=-1.1339391, 4=1, 5=1.4174964, 6=2, 7=6, 8=2, 9=1, 10=1, 11=0.19573614, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.9584997, 2=3, 3=-0.2550915, 4=2, 5=-0.14677337, 6=2, 7=7, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.49452934, 2=3, 3=-0.5768988, 4=9, 5=2.5906987, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.5959652, 14=1, 15=2}
{1=-0.5107399, 2=3, 3=-0.68447345, 4=6, 5=0.24429408, 6=3, 7=10, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.6893836, 14=1, 15=1}
{1=0.030558914, 2=3, 3=-0.19759941, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5880683, 2=3, 3=0.07185381, 4=6, 5=0.24429408, 6=3, 7=1, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.3451418, 2=3, 3=-0.05809561, 4=2, 5=-0.14677337, 6=2, 7=1, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.0358281, 2=6, 3=0.15478198, 4=6, 5=0.24429408, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=-1.2840239, 2=3, 3=-0.72433865, 4=6, 5=0.24429408, 6=1, 7=4, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.49745312, 14=1, 15=1}
{1=-0.3560831, 2=3, 3=1.3080648, 4=1, 5=1.4174964, 6=5, 7=6, 8=4, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5107399, 2=2, 3=-0.13168389, 4=1, 5=1.4174964, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=2.6986928, 14=1, 15=2}
{1=-0.97471035, 2=3, 3=0.34974024, 4=6, 5=0.24429408, 6=1, 7=9, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=3.3556802, 2=3, 3=-0.4978119, 4=6, 5=0.24429408, 6=2, 7=4, 8=6, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.5067624, 14=1, 15=1}
{1=-0.6653967, 2=3, 3=0.37160808, 4=2, 5=-0.14677337, 6=1, 7=5, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=5, 15=1}
{1=0.3398725, 2=3, 3=-1.3999215, 4=7, 5=1.0264289, 6=2, 7=1, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.3613523, 2=3, 3=1.30475, 4=3, 5=-0.9289083, 6=1, 7=5, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.3385441, 14=1, 15=1}
{1=-0.3560831, 2=5, 3=-0.4862784, 4=8, 5=-2.1021106, 6=2, 7=8, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.3613523, 2=3, 3=2.642413, 4=2, 5=-0.14677337, 6=1, 7=6, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=1, 15=1}
{1=1.2678133, 2=3, 3=0.98186046, 4=1, 5=1.4174964, 6=2, 7=5, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=2, 15=1}
{1=0.80384296, 2=3, 3=-1.2107447, 4=2, 5=-0.14677337, 6=2, 7=5, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.8091122, 2=3, 3=-0.15470217, 4=2, 5=-0.14677337, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.8482925, 14=1, 15=1}
{1=0.64918613, 2=3, 3=1.6358095, 4=2, 5=-0.14677337, 6=3, 7=11, 8=1, 9=1, 10=2, 11=1.8700742, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.3451418, 2=3, 3=1.6617624, 4=2, 5=-0.14677337, 6=3, 7=6, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=1.0358281, 2=5, 3=0.90112585, 4=2, 5=-0.14677337, 6=2, 7=12, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-0.2014263, 2=3, 3=0.255883, 4=4, 5=1.8085638, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=-0.4334115, 2=3, 3=-1.1842654, 4=5, 5=-1.7110431, 6=1, 7=6, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.57185775, 2=4, 3=2.2917085, 4=9, 5=2.5906987, 6=1, 7=4, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=1.6544554, 2=3, 3=0.72313154, 4=10, 5=0.63536155, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.10788731, 2=3, 3=1.0814503, 4=6, 5=0.24429408, 6=3, 7=11, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5880683, 2=3, 3=0.35836843, 4=6, 5=0.24429408, 6=3, 7=9, 8=5, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-1.0862168, 14=1, 15=1}
{1=-0.12409789, 2=5, 3=0.4922566, 4=1, 5=1.4174964, 6=2, 7=12, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-0.5107399, 2=5, 3=-0.58710647, 4=6, 5=0.24429408, 6=1, 7=3, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=0.9584997, 2=2, 3=0.15084325, 4=9, 5=2.5906987, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=4.677582, 13=1.8576018, 14=1, 15=2}
{1=0.10788731, 2=3, 3=0.2620446, 4=6, 5=0.24429408, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.8482925, 14=1, 15=2}
{1=0.9584997, 2=3, 3=-0.04591864, 4=7, 5=1.0264289, 6=3, 7=2, 8=5, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=8, 15=1}
{1=-0.2787547, 2=4, 3=0.7175939, 4=2, 5=-0.14677337, 6=1, 7=5, 8=4, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=3.1236951, 2=3, 3=-0.50320333, 4=4, 5=1.8085638, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=0.64918613, 2=3, 3=0.21913761, 4=1, 5=1.4174964, 6=2, 7=2, 8=2, 9=1, 10=1, 11=1.9654541, 12=-0.21036936, 13=1.8576018, 14=1, 15=2}
{1=0.88117135, 2=2, 3=-0.26020014, 4=4, 5=1.8085638, 6=1, 7=4, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=-1.2066956, 2=3, 3=0.121819355, 4=6, 5=0.24429408, 6=1, 7=10, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5107399, 2=3, 3=-0.7055906, 4=2, 5=-0.14677337, 6=1, 7=11, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.2787547, 2=6, 3=1.3829985, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=0.9364733, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-0.4334115, 2=3, 3=0.18617497, 4=3, 5=-0.9289083, 6=1, 7=3, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.3560831, 2=5, 3=0.1312275, 4=2, 5=-0.14677337, 6=1, 7=1, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.49452934, 2=3, 3=-0.49831888, 4=2, 5=-0.14677337, 6=2, 7=3, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.8973819, 2=3, 3=2.5014079, 4=1, 5=1.4174964, 6=1, 7=6, 8=6, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.18521571, 2=3, 3=-1.0771197, 4=11, 5=2.1996315, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.577127, 2=2, 3=1.557951, 4=2, 5=-0.14677337, 6=2, 7=5, 8=2, 9=1, 10=1, 11=-0.14188065, 12=4.6390333, 13=1.0165107, 14=9, 15=2}
{1=-0.5880683, 2=3, 3=1.9699986, 4=6, 5=0.24429408, 6=2, 7=6, 8=3, 9=1, 10=2, 11=0.42815453, 12=-0.21036936, 13=-1.0862168, 14=1, 15=1}
{1=0.030558914, 2=3, 3=-0.71112823, 4=2, 5=-0.14677337, 6=1, 7=9, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=1.3451418, 2=3, 3=-0.7814895, 4=5, 5=-1.7110431, 6=2, 7=3, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=1.577127, 2=6, 3=1.2409501, 4=6, 5=0.24429408, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=1.0358281, 2=5, 3=0.21025594, 4=10, 5=0.63536155, 6=2, 7=11, 8=2, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.4997985, 2=3, 3=0.6994893, 4=6, 5=0.24429408, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.5211654, 14=1, 15=1}
{1=-1.0520387, 2=3, 3=-0.7133901, 4=2, 5=-0.14677337, 6=1, 7=11, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.25952882, 14=1, 15=1}
{1=-1.1293671, 2=3, 3=0.23505834, 4=6, 5=0.24429408, 6=1, 7=5, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=0.3398725, 2=3, 3=-0.55524546, 4=1, 5=1.4174964, 6=2, 7=2, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=1}
{1=-0.4334115, 2=3, 3=-0.9618919, 4=1, 5=1.4174964, 6=1, 7=2, 8=4, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=10, 15=1}
{1=-0.5107399, 2=1, 3=0.89873725, 4=1, 5=1.4174964, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=2}
{1=-1.2840239, 2=3, 3=1.226482, 4=6, 5=0.24429408, 6=1, 7=5, 8=4, 9=2, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=0.88117135, 2=3, 3=1.0921551, 4=1, 5=1.4174964, 6=2, 7=2, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=-1.2066956, 2=3, 3=-0.625012, 4=6, 5=0.24429408, 6=1, 7=1, 8=4, 9=1, 10=2, 11=-0.14188065, 12=4.20729, 13=-0.83388954, 14=1, 15=1}
{1=-0.3560831, 2=3, 3=-0.593424, 4=7, 5=1.0264289, 6=2, 7=1, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=0.26254413, 2=3, 3=1.8517387, 4=6, 5=0.24429408, 6=3, 7=11, 8=1, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.5880683, 2=3, 3=-1.0352267, 4=7, 5=1.0264289, 6=1, 7=6, 8=1, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=1}
{1=-0.8973819, 2=3, 3=-1.2916157, 4=2, 5=-0.14677337, 6=1, 7=5, 8=1, 9=1, 10=2, 11=-0.14188065, 12=4.3177958, 13=0.1754197, 14=1, 15=1}
{1=0.18521571, 2=2, 3=-0.5344598, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=0.4733197, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=0.10788731, 2=3, 3=0.76432264, 4=1, 5=1.4174964, 6=2, 7=6, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.0165107, 14=1, 15=1}
{1=0.80384296, 2=3, 3=-0.28867808, 4=7, 5=1.0264289, 6=3, 7=10, 8=1, 9=2, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.16101672, 14=1, 15=1}
{1=0.18521571, 2=4, 3=-0.4862199, 4=4, 5=1.8085638, 6=2, 7=4, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=11, 15=2}
{1=0.57185775, 2=2, 3=-1.1590536, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=1.8576018, 14=1, 15=1}
{1=-0.6653967, 2=3, 3=-0.12360166, 4=10, 5=0.63536155, 6=2, 7=1, 8=3, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=-0.24512582, 14=1, 15=1}
{1=-1.2066956, 2=3, 3=-1.3794869, 4=6, 5=0.24429408, 6=1, 7=6, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-1.5067624, 14=1, 15=1}
{1=1.0358281, 2=3, 3=-0.91480243, 4=6, 5=0.24429408, 6=2, 7=11, 8=2, 9=3, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=2}
{1=1.963769, 2=6, 3=-1.0645431, 4=2, 5=-0.14677337, 6=2, 7=11, 8=2, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-0.6653967, 2=3, 3=0.55549103, 4=6, 5=0.24429408, 6=1, 7=6, 8=4, 9=1, 10=2, 11=-0.14188065, 12=-0.21036936, 13=0.1754197, 14=1, 15=1}
{1=-1.2840239, 2=3, 3=1.3752769, 4=6, 5=0.24429408, 6=1, 7=5, 8=4, 9=1, 10=1, 11=-0.14188065, 12=-0.21036936, 13=-0.66567135, 14=5, 15=1}
{1=0.7265145, 2=3, 3=0.20258318, 4=10, 5=0.63536155, 6=1, 7=4, 8=1, 9=1, 10=2, 11=-0.14188065, 12=3.8089554, 13=0.1754197, 14=1, 15=2}
